ASV	WS_A_3	WS_A_6	WS_B_3	WS_B_6	WS_C_3	WS_C_6	WS_D_3	WS_D_6	WS_E_3	WS_E_6	WS_F_3	WS_F_6	WS_G_3	WS_G_6	WS_H_3	WS_H_6	WS_I_3	WS_I_6	WS_A_9	WS_B_9	WS_C_9	WS_D_9	WS_E_9	WS_F_9	WS_G_9	WS_H_9	WS_I_9
65f55015ddc161df29ad55e9a337e21e	0	0	0	26	19	11	0	4	0	15	27	8	0	0	7	17	3	21	128	423	71	113	522	103	192	37	163
2a75bed17ba260e57bd463e9fbdf2883	0	0	0	0	0	5	0	8	0	37	0	4	0	6	0	4	0	15	242	0	100	359	284	514	281	25	8
3fd07b98dedfbc282868e5061f99eb3e	0	0	0	6	0	0	0	12	0	5	0	3	0	0	0	0	0	11	72	129	273	477	284	69	245	105	187
e8724520788bb38a7f9d22c91318f016	0	0	0	0	0	65	0	41	0	20	0	37	0	0	0	125	12	209	79	83	253	218	76	45	111	178	280
8012da7c810e58147175f741af2a78d2	81	26	20	0	107	35	0	0	47	120	130	0	0	0	31	0	0	61	112	54	119	81	150	133	114	99	205
0742fb23302cfa34adb51a2634fe7219	12	11	0	47	0	31	0	20	0	27	19	24	0	0	0	16	0	59	170	285	118	90	91	114	221	236	125
1e1178f3163cc9169597e95ff04f6ec6	414	150	38	0	94	41	56	0	48	0	539	0	0	0	33	0	143	85	0	0	0	0	0	0	0	0	0
54658c5cabc3c6c07f1e6556120cc99c	0	0	0	0	0	0	33	0	0	0	0	0	0	51	0	0	0	0	0	156	88	287	216	77	332	97	291
68cc1c14334c3d28d71d66a14031bf33	0	0	0	9	0	7	0	14	0	25	0	11	0	0	0	17	4	27	77	225	157	292	92	42	103	95	381
ca6c2b3b469c08212142e8821c65882a	0	0	0	0	0	0	0	0	807	0	0	0	719	0	0	0	49	0	0	0	0	0	0	0	0	0	0
76363618e6a55a0556fa9cdda32b9519	4	25	0	61	3	93	0	18	0	34	17	49	0	13	0	58	17	77	43	190	334	92	36	49	56	83	158
6ea12a2a6eb7f0d377858aaeca4664e4	28	132	0	31	0	346	0	75	0	191	26	139	0	0	0	97	0	222	0	0	74	0	0	67	57	0	0
35f1143bcfbaf90016a0c11cdac4177c	4	42	0	14	0	18	0	13	0	38	0	10	0	18	10	24	7	40	104	248	122	152	64	74	146	59	264
9af3467db68cf6063627304cecd46a65	0	0	1299	0	55	0	0	0	0	0	0	0	55	0	0	0	0	0	0	34	26	0	0	0	0	0	0
43fddf1528d4a98928fd8c3a8ac23bfd	0	0	1252	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7069712c1deee58d640df6a9cbe743dd	0	51	0	38	14	28	0	73	0	48	74	190	0	0	15	91	0	67	73	34	140	39	46	155	30	138	85
0a165844daf38d8ce2008c94a5b4565e	9	0	12	0	130	49	0	5	185	63	25	19	392	0	13	47	52	69	13	39	89	35	41	0	30	18	44
99e5a1f89bd0985c7232e7288b0bbb0c	159	0	43	28	41	66	153	40	16	33	52	81	0	4	116	52	176	98	12	56	26	39	11	12	12	29	22
dd1eab022bc2139c01059fea8516397a	3	6	0	8	0	67	0	19	0	10	0	9	0	5	0	0	0	47	123	16	550	23	39	58	65	220	107
481de4037ed3f3bcf51b47e548dcbd9e	0	0	0	0	59	76	0	0	0	73	38	57	0	24	0	62	0	52	56	43	56	207	211	69	108	71	79
6d15f8ee1f19c8e471f9efb566866ab7	0	4	0	22	0	13	0	0	0	57	0	19	0	0	3	0	0	43	283	17	59	19	273	364	76	56	29
1218881a7c5a7c49ba20eec9fd2c8822	0	17	0	29	0	160	0	0	0	12	0	20	0	0	0	25	0	70	75	43	531	0	28	42	66	107	102
92d53dbcf18e8b0d7ac36b3a48166638	10	10	0	23	0	17	0	20	0	51	26	39	0	0	10	8	0	67	69	30	118	173	170	78	96	130	179
ecc423b8fefd03a92aa1a97fc74a654c	111	200	47	20	94	21	162	118	28	72	42	58	27	56	79	11	73	105	0	0	0	0	0	0	0	0	0
a577fa211cbb372ac476566055787ecd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	31	75	154	423	486	38	0
6cc3d9a85641e773e9dc4fcb97e40bea	0	0	0	0	0	0	0	0	0	0	0	15	0	7	0	0	0	0	12	0	284	0	961	0	29	0	0
750dab93d926d40d7cd439faa6640f33	0	0	0	0	0	68	0	0	0	31	0	0	0	0	0	80	0	61	42	151	230	43	32	37	39	206	287
1ceb259ab58f8dca4f658177a643c081	0	4	0	19	0	3	0	7	0	29	0	0	0	0	0	7	0	13	331	107	80	65	59	178	99	172	133
2e6005d88ec49dcdba1581f468550597	293	0	0	0	224	0	0	0	0	0	623	0	0	0	41	0	68	56	0	0	0	0	0	0	0	0	0
f574db6bef285785a0be2afa96c81b03	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	106	165	138	203	171	64	185	71	179
0f18144d308ada95632ab5193d92073f	0	0	692	16	151	17	0	0	43	0	0	0	47	33	0	0	104	0	0	63	0	0	67	0	0	0	21
cad8cc3e7647d51e614b099398538e4d	18	0	0	20	39	55	0	0	0	0	105	23	0	0	45	84	22	40	26	90	302	22	24	17	18	101	201
0a4893b9a6062b1e61e27c920e0e38ca	0	89	0	86	0	0	0	0	0	125	0	26	0	62	0	0	0	0	0	0	0	318	260	83	198	0	0
bea2ea3352d5bbcea17433e9e4922e40	175	73	0	33	152	38	22	0	0	130	100	0	0	18	45	78	164	56	21	0	72	0	0	0	31	0	38
2fb4b6e2180bcce2ff4bfab91f2704c3	0	11	0	0	0	18	0	21	0	0	0	26	0	23	0	0	0	34	16	0	56	9	13	750	12	0	250
62b0bf21cce919c492e653ba630b9ea5	36	36	0	9	275	9	0	9	14	19	421	30	0	16	0	48	29	26	27	8	26	43	0	56	13	15	72
1a131635c7cef07af21b4ec48465d88d	0	0	0	0	0	115	0	29	0	0	0	0	0	0	0	120	0	124	69	69	113	52	118	111	58	127	128
cc2ac44f727710c9fb988fc57d9efce9	0	4	28	0	62	7	0	5	404	5	89	24	183	0	41	20	95	35	7	32	28	28	38	11	7	30	42
9004764f07d078531c518946c23e6e15	0	0	0	0	0	13	0	0	0	22	0	0	0	0	0	0	0	21	244	16	150	178	111	257	51	18	140
17b0342c3ad178f79fb2064ff4ce697c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	162	169	412	125	198	0	42
1dd76948abdd6c3ea01f7adb97dae1a0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	29	137	220	189	46	70	239	213
12f0627b0f930aff1182481eb84cbc7d	314	29	0	0	352	0	47	22	18	15	231	0	5	0	105	0	55	0	0	0	0	0	20	0	0	0	0
906a6d27477dd504345835ee5273a72c	0	0	0	6	0	21	0	12	0	6	0	6	0	7	9	31	5	14	50	401	143	44	7	39	55	237	119
32181b006051d0c53a829c211710b508	0	5	0	36	8	26	0	15	0	20	9	18	0	0	0	17	0	40	66	91	221	96	60	73	108	71	208
3b9a640a2fb04ef04b82b218fc1fb455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	164	58	261	72	36	158	40	353
57b92326c77017ea2f2bda05f0b71a66	26	39	0	89	0	11	42	41	0	79	47	31	0	36	5	11	6	89	63	84	74	32	102	62	122	13	73
d94a068f317cc9789c7cdb7ab4858ae5	0	0	0	12	0	15	0	0	0	16	0	0	0	0	0	0	0	24	90	0	206	18	111	65	93	311	211
8c9dae53dd870d7c379ee8b3164c9083	0	30	0	163	0	62	0	235	0	148	0	98	0	21	75	0	0	69	0	0	35	48	23	34	123	0	0
1b5ad2a7bf201461ba218c684d292ee2	0	7	0	11	0	99	0	6	0	6	0	9	0	0	0	14	0	43	66	35	433	59	19	51	49	139	113
430d480477d450614cc88f3853c6ae7f	0	0	812	0	0	0	0	0	309	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
166d98cd5b2fe92492ab4531eba83f4d	0	0	0	0	0	8	0	4	0	11	0	0	0	0	0	0	0	6	26	243	117	253	45	25	121	59	193
f672aa3aea2d03f0b297739022e9b716	25	0	0	0	0	59	0	42	0	44	33	0	0	0	13	29	11	107	37	30	51	140	181	69	94	0	132
1d3e0cdf9eccf08a3acf22aa5a777512	0	11	0	64	11	40	0	11	0	75	9	0	0	0	26	30	0	69	41	51	88	139	123	55	60	31	152
592e7630b2e58f0bcb2a3f9cccb07ceb	0	0	185	0	11	0	0	0	6	0	867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b5f65cf6b74d1335f56422b303989e07	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	7	5	419	378	32	0	7
f37fc1dccfeba0004cbeb4f1ad6083c6	0	0	13	0	61	0	0	0	429	4	375	5	41	0	0	0	76	0	0	0	0	20	0	37	0	0	0
ee2d56600bef5d134884d0354366d6e8	0	14	0	17	0	38	0	17	0	45	0	192	0	30	0	58	0	124	18	44	55	12	7	249	0	7	132
4101b9eb70afe9a3ed1fb4c9eeaa28c6	0	0	0	0	0	0	0	5	0	7	0	14	0	0	0	0	0	0	42	87	24	250	146	54	195	63	171
9e894a389bedef48600cba1f91ae7d04	0	29	0	15	5	214	0	12	0	49	0	25	0	4	0	73	0	135	41	12	224	16	15	24	15	52	93
f98522d5a3aaf8ad9b200dd2ae2477e3	21	0	0	0	14	16	0	21	0	19	44	44	0	0	22	0	0	44	42	13	69	180	49	229	85	72	66
5db99293e9b1fc0a4ffea5bfc8dad05a	0	0	0	11	0	71	0	0	0	19	0	0	0	0	6	19	0	31	63	52	345	66	28	37	43	98	156
