ASV	WS_A_3	WS_A_6	WS_B_3	WS_C_3	WS_D_6	WS_E_3	WS_E_6	WS_F_3	WS_F_6	WS_G_6	WS_H_3	WS_I_3	WS_I_6	WS_A_9	WS_B_9	WS_C_9	WS_D_9	WS_E_9	WS_F_9	WS_G_9	WS_H_9	WS_I_9
65112c8e668894cde7655aac862e2f2b	0	0	0	0	0	0	0	0	0	0	0	0	0	256	102	0	0	0	80	0	108	0
9b4dda69ec2695f70dcdc9e5068cb437	199	0	8	52	0	190	0	12	0	0	47	36	0	0	0	0	0	0	0	0	0	0
9d115731efa19d8933d27abdb6f46e75	0	0	118	0	0	0	0	0	0	0	0	0	275	0	32	0	0	59	0	0	0	48
e524cdc82d2af9c72158e469c86ddc7a	0	0	0	0	93	0	23	0	113	79	0	0	100	5	0	47	6	3	12	12	9	28
298878639862fd53081ec5e90aadce0c	0	0	0	0	0	0	0	0	81	0	0	439	0	0	0	0	0	0	0	0	0	0
df435769d4876d1be85d3498653caa52	66	0	0	0	0	41	31	6	138	0	0	71	15	34	42	0	25	6	8	16	0	20
068f389d1e9465389e86dc523dc9287f	0	0	0	0	0	0	0	38	0	0	0	0	0	111	57	0	313	0	0	0	0	0
fc8b7081c96f9a34e9d331f5512d2d3a	0	0	0	0	93	0	398	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0
7aaacf824aeab4c5f6cf1b12baf8561f	0	0	0	0	102	0	328	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0
f143ece3a4b69f011af5efec4281e464	0	0	0	0	0	0	8	0	0	487	0	0	0	0	0	0	0	0	0	0	0	0
2e9530425be434d0a8527c42b63df73a	6	0	31	0	19	12	134	0	32	46	2	26	63	6	19	25	0	26	0	20	7	0
b234f72ce00e553c4b26caa33f9f333c	28	0	0	0	45	12	122	0	147	0	0	27	19	0	0	0	0	0	36	34	0	0
8250b3eef02703511701ace91acf68ca	0	0	0	0	0	0	0	0	0	0	167	234	69	0	0	0	0	0	0	0	0	0
09f784d7d69d1b3ec2face242d961842	0	0	0	0	0	0	0	0	0	0	0	0	0	142	98	0	0	0	90	0	128	0
7deef1b234f5f0fc3f5b11bf58896e8e	156	0	0	37	0	170	0	0	0	0	63	29	0	0	0	0	0	0	0	0	0	0
0c8c17701023a47f42d24fc6e19593d8	71	0	0	0	0	55	0	0	88	0	80	120	33	0	0	0	0	0	0	0	0	0
cedf14c9f0291a49afaf72e6eabee607	11	0	0	0	0	8	0	139	232	0	4	15	28	0	0	0	0	0	0	0	0	0
eb1b53437bbcb7145978964fb97b82ca	56	0	0	16	0	103	0	19	0	0	0	216	0	0	13	0	0	0	8	6	0	0
ce3900450129083a186f20ae27c775f0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	78	0	0	0	88	0	75	0
f59aa5075e131781a04aeac5fd350574	108	0	85	15	0	213	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
07bbf5e69683f234672a506cc7971075	0	0	0	0	0	0	177	0	0	0	0	0	0	20	0	91	64	17	0	32	0	30
3d184f93cb4166b3c49f2208d37a8806	0	0	0	0	0	0	125	93	0	0	66	0	144	0	0	0	0	0	0	0	0	0
8ad553decd8d15c2a813f8f979332391	0	0	0	0	56	0	151	0	37	0	0	0	0	0	0	30	0	21	28	29	0	31
2d737719bbe2d7c6d64bc94743883bb1	0	0	0	0	90	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c90a3d463450f38cef6c1767c72a3d2f	0	0	0	0	97	0	0	0	0	82	0	0	191	0	0	0	0	0	0	0	0	0
bd9f952b633fbaa0a7076a32cdcc64d1	0	0	0	0	0	0	18	0	0	0	0	0	18	7	77	23	10	4	10	30	9	144
8d99358c2941b9f1a4763d2b34ae03fd	0	0	0	0	0	0	0	178	0	0	0	0	161	0	0	0	0	0	0	0	0	0
d6009ceea56bcb050dd76da5e7afd2eb	0	0	0	0	60	0	183	0	24	33	0	0	39	0	0	0	0	0	0	0	0	0
b8a2cd96795add51ed715344ddb56f1a	143	0	0	0	4	164	0	15	0	0	0	5	0	0	0	0	0	0	0	0	0	0
0a5d266035d1d5e637ae4f6c83a21f95	0	0	0	0	0	0	0	178	0	0	0	0	147	0	0	0	0	0	0	0	0	0
23477c5405ac4e36ce3c2e98a64358e2	86	0	0	37	18	79	13	30	16	0	9	23	7	0	0	4	0	0	0	0	0	0
2d921fdbb29f2fb503a9ebb59522ebd1	0	0	0	0	0	0	209	0	41	71	0	0	0	0	0	0	0	0	0	0	0	0
10be6d645a68a511655a1284e22788c0	117	0	25	0	16	157	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
fbfd96e451298d273a8d0a47494a911e	56	0	91	0	0	80	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40c3c73682738ea06b44bfa52330f20a	0	0	0	0	39	0	36	0	94	36	30	38	45	0	0	0	0	0	0	0	0	0
a77cb0a07450a8203dd11d544504322e	41	0	56	17	0	52	16	46	0	0	69	0	18	0	0	0	0	0	0	0	0	0
fae1597729038425c51240c8b2dc4c2c	0	0	0	0	7	0	56	0	12	0	0	0	6	15	0	0	36	32	29	98	0	20
