"asv","Genus","clr_1","clr_0.5","clr_0.1","rclr","rclr_optspace","pa","n_transforms","transforms"
"0d9a85a8f16a66d5dc0e5eacea0c4d39","Candidatus Paracaedibacter",0.000140968087563608,0.000154751510576956,0.000140968087563608,0,0.000275717182702676,-8.71830030697431e-05,4,"clr_1;clr_0.5;clr_0.1;rclr_optspace"
"bb7f85879d3368b4cb7312e19bddcd5c","Candidatus Paracaedibacter",0.000288484010360831,0.000288484010360832,0.000288484010360832,-2.2746205180906e-05,0.000578280434730248,-5.02087252429193e-05,4,"clr_1;clr_0.5;clr_0.1;rclr_optspace"
"01255b0ddc21923e6857364b7e46bf36","Candidatus-Aurora",2.22107238464968e-05,2.22107238464968e-05,5.26683711286791e-06,0,0.000224978176514331,NA,4,"clr_1;clr_0.5;clr_0.1;rclr_optspace"
"79029fa983ec4eda60117a273a52cfc0","Caulobacter",0.000755197533377283,0.000737147382886872,0.00168716825230918,0,0.000143292975535027,-0.000277811372336096,4,"clr_1;clr_0.5;clr_0.1;rclr_optspace"
"ca274cac3782ce39f30b91a1ae9e19b8","Caulobacter",0.000112541737763587,0.000201259186344133,5.72650402885449e-05,0,0.000839402761827198,-0.0034907318862917,4,"clr_1;clr_0.5;clr_0.1;rclr_optspace"
"8f0fb68673a8b3c26f3fd210e29b7916","Clostridium",0.000450754653092649,0.000450754653092649,0.00101394265054424,6.31700445777583e-07,-5.21241707271366e-05,0,4,"clr_1;clr_0.5;clr_0.1;rclr"
"23a4b6bc2c58466eb2b87814a8ebbbf7","Comamonadaceae Family",0.00158557573203377,0.00133098313247099,-2.51570341548183e-05,0.000107918046833752,0.00172114250364888,NA,4,"clr_1;clr_0.5;rclr;rclr_optspace"
"ae9ca4f1c89de2162ba1c4051d205315","Comamonadaceae Family",-3.77514244338066e-05,-3.77514244338066e-05,9.8099180346748e-05,5.3603465887543e-05,8.0935411854426e-05,0.00116800676249293,4,"clr_0.1;rclr;rclr_optspace;pa"
"5de27febf2c3146c05611c279e97767b","Cyanobium",0.000110156537488697,0.000110156537488697,4.60908504287774e-05,-0.000138659106932348,8.46024431988919e-05,-0.0005639980898806,4,"clr_1;clr_0.5;clr_0.1;rclr_optspace"
"fb2b00a8282741f54559c37f4ce69e20","Cyanobium",0.000142237337680519,0.000142237337680519,8.45885433588074e-05,0.000427233703510035,-0.000250832648698852,-0.00286239894657054,4,"clr_1;clr_0.5;clr_0.1;rclr"
"6815f1f2c2d38299f363940f8e312c3c","Deinococcaceae Family",0.0014239649234752,0.00165642724969168,0.0022575339953272,0,-4.81909120366431e-05,0.00725685369706593,4,"clr_1;clr_0.5;clr_0.1;pa"
